eventName,blockNumber,txHash,logIndex,validatorId,delegator,amountMON,activationEpoch
Delegate,68619833,0xe44b75ab91fe472ea16c8547b2af2b881fcd5167bde4c26f76856512a5e93971,24,154,0xF91eADd30c0e8Ab39a6941BeAA79d80Ac4686BA3,1.780378742202351926,1374
Delegate,68625803,0x4508910a5ed977c265df61278d5447ec783599dee5972a5653f01f68d55464c5,97,154,0x3496A0Da043108Ec81022ebEcced3D0cf821A58D,3000.0,1374
Delegate,68626758,0xd434b04b5f5dc9bd3ed66ccc3cdaf576233a828f0d277de683b8e7cc0a2a1c56,25,154,0x3496A0Da043108Ec81022ebEcced3D0cf821A58D,2400.0,1374
Delegate,68716766,0xcaa9fd1520af3449aa11550cd7b184ad7cdb8665b3a83f0ff32753491e22da1b,13,154,0x7284C43A849985cC59C777b16FC040bFB4fFe0E1,80.288771433168837964,1376
Delegate,68758506,0x468d1f202b5b34777bdb0d7c659bdf9132a72cba606f174c4a612523fe6bbcf6,3,154,0xEb0a0E981202428600C013897C7571C64107e92D,0.090405479058379853,1377
Delegate,68930109,0x5cef053cd05027f9e8803467d236ab7ee76a07c95ffbc79b5cdf8d303555fb68,4,154,0x3496A0Da043108Ec81022ebEcced3D0cf821A58D,6.443502002046335946,1380
Delegate,68954190,0x16ee26d6f8cafb9e303a0150792c93ba33feb165ac53da45a5510ae6d9e7cabe,9,154,0xB4dff2c9b4DB343eD94FB9bf4788bCbD59D101B7,74.955204591296573441,1381
Delegate,69006211,0x1db4c2b7c152f1a19f025ba32c155be8bd8bc5d3f02a77973d1389f4afc15536,33,154,0x5b771Eb0Da5A5460cB6c1bC0084Db0Df8b789955,50.0,1382
Delegate,69015033,0xad8a29b181d5ce91ffb1324cc4900b522b43dd47df4c81c90bdbea37722d972a,1,154,0xc4e7E70a3A41c655B1b634Da13Dd2689AF821616,2950.0,1382
Delegate,69024952,0xf1829d18d8aace487456547717674403008b77f25506eca170337ca72d01e096,54,154,0xF91eADd30c0e8Ab39a6941BeAA79d80Ac4686BA3,3.456597750290077412,1382
Delegate,69082324,0x5f2ac062bb905539595d9bdeba7a77989b24c189960b54946bdbda39273ffe73,10,154,0x2A52321D83e6af7Ce5A2125A3a1534b4282A7a73,255.0,1383
Delegate,69162036,0x6f29755dc6920afabe2802d04ab499a412a74dd566f508062904cd07e96252ba,19,154,0xF91eADd30c0e8Ab39a6941BeAA79d80Ac4686BA3,1.157098041406221286,1385
Delegate,69211326,0x2870b63c244c94aa09d91f418da4eaaf0a61f2f209b779c697de687022064a8b,29,154,0x7284C43A849985cC59C777b16FC040bFB4fFe0E1,65.41113726179250025,1386
Delegate,69238062,0x496de43e2e9d7ab759e1cde885bb196c34fe16bd61e8880265ba5eb2d8895efb,34,154,0x2598CD5553De991eB8E948e7400C02814f529c01,5038.963764788353445582,1386
Delegate,69351673,0x515e40c2aa3e93eb883a89d9895a13ea32f73e20ca91358e3e6456d70b75aa1b,133,154,0x780B6b1a935e52B41FE895236073D254f189F3dd,1100.0,1389
Delegate,69375398,0x31d5d21709c7b5edd156fc79d62eb68e664b3f630c5263b1658d048a91ed4321,14,154,0xF2D30492Cfd0696372fc30e43d31068EC8da5550,500.0,1389
Delegate,69412209,0xc4ad566d15c29a1784e165a5167884cd9db7bf7cd85fbd8f4d600f73298b306c,75,154,0xBd7477006dAa466d15D0B13F614e84c1E5DEf06a,30000.0,1390
Delegate,69414093,0x915e8796d31b9b46e665d203b64d5a42bbe8d020be6b6c268638c00f26fc182f,5,154,0x34c4a49290490b8E8051709CaFb4F42824eEF399,100.0,1390
Delegate,69455001,0xe11b560ec2f5bdebece55ccb744d6bc847b70aa7b4ec14683ab638f52cf038f1,37,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,1050.82125290385461885,1391
Delegate,69455763,0x1e28e2e639eb6b00b05f3d91dfb2b995d2a46ab5e1538d4a93adc7ee46ec3ade,70,154,0xF91eADd30c0e8Ab39a6941BeAA79d80Ac4686BA3,2.502366627920749016,1391
Delegate,69479107,0x7ec9bf7efc5ffc8bde9b8af9d858810018637d71f2ef87dbff2a1f4f3cde80b5,5,154,0x8387d9A00976b07EBC3d0EB029ef833a405c2cA8,200000.0,1391
Delegate,69494268,0x283fa2dffb0eaff5314c371541db6a877aec8f6ecf2b716e00f7239620518361,6,154,0x2598CD5553De991eB8E948e7400C02814f529c01,2016.133909052789042509,1391
Delegate,69582095,0x09fefc628e94e30e228f1bf1f0784afff64d524c8c52a32dc6833f286abaab1a,38,154,0x7284C43A849985cC59C777b16FC040bFB4fFe0E1,48.923632233483005477,1393
Delegate,69612668,0x08394926e8e3aa34fac1ec2a157dec3469f0a1ccd713b564ccd038cef5f65b55,3,154,0x7c834C7e54Bb2a0A19fedbf92095b0B499E152E4,50.0,1394
Delegate,69619744,0x8f35971568a01a5d051171ce194c72192fd36f2331ccbb99acf75583432a096a,32,154,0xF91eADd30c0e8Ab39a6941BeAA79d80Ac4686BA3,1.423899762662126431,1394
Delegate,69630928,0x988ddbeea922fee53fa946f29a789da2fb48e48ea71db78862249d845daff458,69,154,0x3496A0Da043108Ec81022ebEcced3D0cf821A58D,14.93242843530651555,1394
Delegate,69684432,0xc3e6b0a2d38cda330c0b425f493824a72d23bc028ec2fe84ed19a0e8fd7ad0e7,7,154,0xEb0a0E981202428600C013897C7571C64107e92D,0.384782752135791558,1395
Delegate,69705002,0xe9819af25779d9d002c16d23f00c3a615c44e752cb19c193d6f823a266161581,39,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,5414.828003812420675234,1396
Delegate,69717556,0xd38b529d4ead7544a4951013f0978099e1a6d44319f8f4a7f1bf091cc87360d8,6,154,0xBd7477006dAa466d15D0B13F614e84c1E5DEf06a,11.058557292106124052,1396
Delegate,69734696,0xc54b4e62a85aa7a81be3015139c3c37ffa9b9e75ec595ad7e2ac61f7864db4f9,21,154,0x2a381618a48D5bC8Ae24827c85D9328525347cCc,2.10979033152938521,1396
Delegate,69768353,0xef4ed0038c334ac30f5ff13d2de16e9ff35aa4f2c358f75819599668fd59e8b4,87,154,0xF91eADd30c0e8Ab39a6941BeAA79d80Ac4686BA3,1.289344101557361931,1397
Delegate,69813329,0x05c68d1f491b141899f507aebdaafec669e2df58f97ac63b4b80ed639976ef5a,10,154,0xBd7477006dAa466d15D0B13F614e84c1E5DEf06a,20000.0,1398
Delegate,69818553,0xb17e0fd60ab062a301056535cd6424006ee00102c1f1afe89351cc023aaa0d0f,91,154,0x2598CD5553De991eB8E948e7400C02814f529c01,2487.816608825670849396,1398
Delegate,69818708,0xb89e386056239df6a2fc84a4115a4d1b99cc416caee3e9ed09274468235c9b64,16,154,0x40Ea55E0b8f02f8eBc9D91e082e202ed988647fA,33333.0,1398
Delegate,69825695,0x1eeffe42a480670509f9a6ec0af5654bbdcea67988c3c8350db41e54281c2f17,39,154,0x111ab650CefeA2CFbae8a9F556Ca59e9d985253C,1.81,1398
Delegate,69855002,0x7c3563df7484f259d669d7250152c3eac0489236bb0f8518c8f704ae8ef27166,38,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,1440.503862867318794329,1399
Delegate,69890205,0x56f56c6641c6013e8fa1e5305ca0be57b11ac612a573fccec67a064a6ab366e5,29,154,0xD15B115B883AE2F9F7e7E8C82a00CfA870b5ba91,330.0,1399
Delegate,69891151,0x9c8e9578c6a71730065c04dd033f7bc0fcd73c491e2bfe2032ada3fed8869cb5,6,154,0x30700C9Ec1FEA5204E212615427833C09e72B419,81.0,1399
Delegate,69892135,0x8f26c6ec50a8613c892d67fd6291e9f0b57b5580c0895a6f129bdd2665bea8d8,6,154,0xaB77b1c504723C7966f7B77735b3a975620E92b1,218.0,1399
Delegate,69905000,0xba1a62e44188f484357d7406cbd141b3b04995bc33a126f31f6b4e84b5a5e358,47,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,2715.456053201275786875,1400
Delegate,69907708,0xd4fb36e48cde669fea16bbc69d8d403be601bf7c84818675c2dcbde2405fb0a7,50,154,0x3496A0Da043108Ec81022ebEcced3D0cf821A58D,5.862317661107899472,1400
Delegate,69954997,0xd41904883e7731baa745cb94da6962af6502885efee733882442a948c60c4aaf,25,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,3474.485187027863749439,1401
Delegate,69997970,0x649bdd268101bd6bfcff362430e6a53ddfc422cb1d2b5ad7c71576849e7742d2,32,154,0x5b771Eb0Da5A5460cB6c1bC0084Db0Df8b789955,150.0,1401
Delegate,70004996,0x065b5a3ea22543ea686886d1b39498d3a63fa3181a88748e3578ca1ba709cceb,25,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,11476.271730920511542052,1402
Delegate,70019497,0x1a548405004ff398b660d588c076eabb246889c265c92127e44696bc7d263b80,66,154,0x2598CD5553De991eB8E948e7400C02814f529c01,1545.349645214276991921,1402
Delegate,70055000,0x8fc155085f956462086fb661b4080d02f88486a62ffc05061f155d8d53a8bed3,59,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,122249.400041391382972709,1403
Delegate,70105000,0xab43fee7c735b1627e232412e98371827341da1ba621f124074ae7f3130d22b5,41,154,0x1B68626dCa36c7fE922fD2d55E4f631d962dE19c,1456048.063717447559013258,1404
